what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856543232
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1322856543232
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322856543232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856547148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856627738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322856627816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856640155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856688593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856691885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856700980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322856701026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856707376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856759136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856767436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856778371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322856778418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856783613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856784018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856784689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856799353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856805936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322856808183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856837589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856843376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856866683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1322856871628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856877494
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1322856877525
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1322856879147
error,log,,,"Errors occurred during the build.",1322856880723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856884950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856887946
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1322856895870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322856961266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1322856961328
